datetime,datetime_raw,value,value_raw,coverage,coverage_raw
30-06-2026 02:30:00 - 03:30:00,46202.9166666667,,,0 %,0
30-06-2026 03:30:00 - 04:30:00,46202.9583333333,,,0 %,0
30-06-2026 04:30:00 - 05:30:00,46203.0,,,0 %,0
30-06-2026 05:30:00 - 06:30:00,46203.0416666667,,,0 %,0
30-06-2026 06:30:00 - 07:30:00,46203.0833333333,,,0 %,0
30-06-2026 07:30:00 - 08:30:00,46203.125,,,0 %,0
30-06-2026 08:30:00 - 09:30:00,46203.1666666667,,,0 %,0
30-06-2026 09:30:00 - 10:30:00,46203.2083333333,,,0 %,0
30-06-2026 10:30:00 - 11:30:00,46203.25,100 %,100.0,60 %,6000
30-06-2026 11:30:00 - 12:30:00,46203.2916666667,100 %,100.0,100 %,10000
30-06-2026 12:30:00 - 13:30:00,46203.3333333333,,,0 %,0
30-06-2026 13:30:00 - 14:30:00,46203.375,100 %,100.0,100 %,10000
